FUEL_BASED_GEN_TPS_1	FUEL_BASED_GEN_TPS_2	StartupGenCapacityRenewable
Oahu_Kahe_2	2008072714	0.0
Oahu_Kahe_2	2008072716	0.0
Oahu_Kahe_2	2008072718	0.0
Oahu_Kahe_2	2008072720	0.0
Oahu_Kahe_2	2008072722	0.0
Oahu_Kahe_2	2008091000	0.0
Oahu_Kahe_2	2008091002	0.0
Oahu_Kahe_2	2008091004	0.0
Oahu_Kahe_2	2008091006	0.0
Oahu_Kahe_2	2008091008	0.0
Oahu_Kahe_2	2008091010	0.0
Oahu_Kahe_2	2008091012	0.0
Oahu_Kahe_2	2008091014	0.0
Oahu_Kahe_2	2008091016	0.0
Oahu_Kahe_2	2008091018	0.0
Oahu_Kahe_2	2008091020	0.0
Oahu_Kahe_2	2008091022	0.0
Oahu_Kahe_2	2008100300	0.0
Oahu_Kahe_2	2008100302	0.0
Oahu_Kahe_2	2008100304	0.0
Oahu_Kahe_2	2008100306	0.0
Oahu_Kahe_2	2008100308	0.0
Oahu_Kahe_2	2008100310	0.0
Oahu_Kahe_2	2008100312	0.0
Oahu_Kahe_2	2008100314	0.0
Oahu_Kahe_2	2008100316	0.0
Oahu_Kahe_2	2008100318	0.0
Oahu_Kahe_2	2008100320	0.0
Oahu_Kahe_2	2008100322	0.0
Oahu_Kahe_2	2008110800	0.0
Oahu_Kahe_2	2008110802	0.0
Oahu_Kahe_2	2008110804	0.0
Oahu_Kahe_2	2008110806	0.0
Oahu_Kahe_2	2008110808	0.0
Oahu_Kahe_2	2008110810	0.0
Oahu_Kahe_2	2008110812	0.0
Oahu_Kahe_2	2008110814	0.0
Oahu_Kahe_2	2008110816	0.0
Oahu_Kahe_2	2008110818	0.0
Oahu_Kahe_2	2008110820	0.0
Oahu_Kahe_2	2008110822	0.0
Oahu_Kahe_2	2008120500	0.0
Oahu_Kahe_2	2008120502	0.0
Oahu_Kahe_2	2008120504	0.0
Oahu_Kahe_2	2008120506	0.0
Oahu_Kahe_2	2008120508	0.0
Oahu_Kahe_2	2008120510	0.0
Oahu_Kahe_2	2008120512	0.0
Oahu_Kahe_2	2008120514	0.0
Oahu_Kahe_2	2008120516	0.0
Oahu_Kahe_2	2008120518	0.0
Oahu_Kahe_2	2008120520	0.0
Oahu_Kahe_2	2008120522	0.0
Oahu_Kahe_2	2008120800	0.0
Oahu_Kahe_2	2008120802	0.0
Oahu_Kahe_2	2008120804	0.0
Oahu_Kahe_2	2008120806	0.0
Oahu_Kahe_2	2008120808	0.0
Oahu_Kahe_2	2008120810	0.0
Oahu_Kahe_2	2008120812	0.0
Oahu_Kahe_2	2008120814	0.0
Oahu_Kahe_2	2008120816	0.0
Oahu_Kahe_2	2008120818	0.0
Oahu_Kahe_2	2008120820	0.0
Oahu_Kahe_2	2008120822	0.0
Oahu_Kahe_3	2007051700	0.0
Oahu_Kahe_3	2007051702	0.0
Oahu_Kahe_3	2007051704	0.0
Oahu_Kahe_3	2007051706	0.0
Oahu_Kahe_3	2007051708	0.0
Oahu_Kahe_3	2007051710	0.0
Oahu_Kahe_3	2007051712	0.0
Oahu_Kahe_3	2007051714	0.0
Oahu_Kahe_3	2007051716	0.0
Oahu_Kahe_3	2007051718	0.0
Oahu_Kahe_3	2007051720	0.0
Oahu_Kahe_3	2007051722	0.0
Oahu_Kahe_3	2007070900	0.0
Oahu_Kahe_3	2007070902	0.0
Oahu_Kahe_3	2007070904	0.0
Oahu_Kahe_3	2007070906	0.0
Oahu_Kahe_3	2007070908	0.0
Oahu_Kahe_3	2007070910	0.0
Oahu_Kahe_3	2007070912	0.0
Oahu_Kahe_3	2007070914	0.0
Oahu_Kahe_3	2007070916	0.0
Oahu_Kahe_3	2007070918	0.0
Oahu_Kahe_3	2007070920	0.0
Oahu_Kahe_3	2007070922	0.0
Oahu_Kahe_3	2007072100	0.0
Oahu_Kahe_3	2007072102	0.0
Oahu_Kahe_3	2007072104	0.0
Oahu_Kahe_3	2007072106	0.0
Oahu_Kahe_3	2007072108	0.0
Oahu_Kahe_3	2007072110	0.0
Oahu_Kahe_3	2007072112	0.0
Oahu_Kahe_3	2007072114	0.0
Oahu_Kahe_3	2007072116	0.0
Oahu_Kahe_3	2007072118	0.0
Oahu_Kahe_3	2007072120	0.0
Oahu_Kahe_3	2007072122	0.0
Oahu_Kahe_3	2007082500	0.0
Oahu_Kahe_3	2007082502	0.0
Oahu_Kahe_3	2007082504	0.0
Oahu_Kahe_3	2007082506	0.0
Oahu_Kahe_3	2007082508	0.0
Oahu_Kahe_3	2007082510	0.0
Oahu_Kahe_3	2007082512	0.0
Oahu_Kahe_3	2007082514	0.0
Oahu_Kahe_3	2007082516	0.0
Oahu_Kahe_3	2007082518	0.0
Oahu_Kahe_3	2007082520	0.0
Oahu_Kahe_3	2007082522	0.0
Oahu_Kahe_3	2007121500	0.0
Oahu_Kahe_3	2007121502	0.0
Oahu_Kahe_3	2007121504	0.0
Oahu_Kahe_3	2007121506	0.0
Oahu_Kahe_3	2007121508	0.0
Oahu_Kahe_3	2007121510	0.0
Oahu_Kahe_3	2007121512	0.0
Oahu_Kahe_3	2007121514	0.0
Oahu_Kahe_3	2007121516	0.0
Oahu_Kahe_3	2007121518	0.0
Oahu_Kahe_3	2007121520	0.0
Oahu_Kahe_3	2007121522	0.0
Oahu_Kahe_3	2007121800	0.0
Oahu_Kahe_3	2007121802	0.0
Oahu_Kahe_3	2007121804	0.0
Oahu_Kahe_3	2007121806	0.0
Oahu_Kahe_3	2007121808	0.0
Oahu_Kahe_3	2007121810	0.0
Oahu_Kahe_3	2007121812	0.0
Oahu_Kahe_3	2007121814	0.0
Oahu_Kahe_3	2007121816	0.0
Oahu_Kahe_3	2007121818	0.0
Oahu_Kahe_3	2007121820	0.0
Oahu_Kahe_3	2007121822	0.0
Oahu_Kahe_3	2007121900	0.0
Oahu_Kahe_3	2007121902	0.0
Oahu_Kahe_3	2007121904	0.0
Oahu_Kahe_3	2007121906	0.0
Oahu_Kahe_3	2007121908	0.0
Oahu_Kahe_3	2007121910	0.0
Oahu_Kahe_3	2007121912	0.0
Oahu_Kahe_3	2007121914	0.0
Oahu_Kahe_3	2007121916	0.0
Oahu_Kahe_3	2007121918	0.0
Oahu_Kahe_3	2007121920	0.0
Oahu_Kahe_3	2007121922	0.0
Oahu_Kahe_3	2008010900	0.0
Oahu_Kahe_3	2008010902	0.0
Oahu_Kahe_3	2008010904	0.0
Oahu_Kahe_3	2008010906	0.0
Oahu_Kahe_3	2008010908	0.0
Oahu_Kahe_3	2008010910	0.0
Oahu_Kahe_3	2008010912	0.0
Oahu_Kahe_3	2008010914	0.0
Oahu_Kahe_3	2008010916	0.0
Oahu_Kahe_3	2008010918	0.0
Oahu_Kahe_3	2008010920	0.0
Oahu_Kahe_3	2008010922	0.0
Oahu_Kahe_3	2008042100	0.0
Oahu_Kahe_3	2008042102	0.0
Oahu_Kahe_3	2008042104	0.0
Oahu_Kahe_3	2008042106	0.0
Oahu_Kahe_3	2008042108	0.0
Oahu_Kahe_3	2008042110	0.0
Oahu_Kahe_3	2008042112	0.0
Oahu_Kahe_3	2008042114	0.0
Oahu_Kahe_3	2008042116	0.0
Oahu_Kahe_3	2008042118	0.0
Oahu_Kahe_3	2008042120	0.0
Oahu_Kahe_3	2008042122	0.0
Oahu_Kahe_3	2008050100	0.0
Oahu_Kahe_3	2008050102	0.0
Oahu_Kahe_3	2008050104	0.0
Oahu_Kahe_3	2008050106	0.0
Oahu_Kahe_3	2008050108	0.0
Oahu_Kahe_3	2008050110	0.0
Oahu_Kahe_3	2008050112	0.0
Oahu_Kahe_3	2008050114	0.0
Oahu_Kahe_3	2008050116	0.0
Oahu_Kahe_3	2008050118	0.0
Oahu_Kahe_3	2008050120	0.0
Oahu_Kahe_3	2008050122	0.0
Oahu_Kahe_3	2008072700	0.0
Oahu_Kahe_3	2008072702	0.0
Oahu_Kahe_3	2008072704	0.0
Oahu_Kahe_3	2008072706	0.0
Oahu_Kahe_3	2008072708	0.0
Oahu_Kahe_3	2008072710	0.0
Oahu_Kahe_3	2008072712	0.0
Oahu_Kahe_3	2008072714	0.0
Oahu_Kahe_3	2008072716	0.0
Oahu_Kahe_3	2008072718	0.0
Oahu_Kahe_3	2008072720	0.0
Oahu_Kahe_3	2008072722	0.0
Oahu_Kahe_3	2008091000	0.0
Oahu_Kahe_3	2008091002	0.0
Oahu_Kahe_3	2008091004	0.0
Oahu_Kahe_3	2008091006	0.0
Oahu_Kahe_3	2008091008	0.0
Oahu_Kahe_3	2008091010	0.0
Oahu_Kahe_3	2008091012	0.0
Oahu_Kahe_3	2008091014	0.0
Oahu_Kahe_3	2008091016	0.0
Oahu_Kahe_3	2008091018	0.0
Oahu_Kahe_3	2008091020	0.0
Oahu_Kahe_3	2008091022	0.0
Oahu_Kahe_3	2008100300	0.0
Oahu_Kahe_3	2008100302	0.0
Oahu_Kahe_3	2008100304	0.0
Oahu_Kahe_3	2008100306	0.0
Oahu_Kahe_3	2008100308	0.0
Oahu_Kahe_3	2008100310	0.0
Oahu_Kahe_3	2008100312	0.0
Oahu_Kahe_3	2008100314	0.0
Oahu_Kahe_3	2008100316	0.0
Oahu_Kahe_3	2008100318	0.0
Oahu_Kahe_3	2008100320	0.0
Oahu_Kahe_3	2008100322	0.0
Oahu_Kahe_3	2008110800	0.0
Oahu_Kahe_3	2008110802	0.0
Oahu_Kahe_3	2008110804	0.0
Oahu_Kahe_3	2008110806	0.0
Oahu_Kahe_3	2008110808	0.0
Oahu_Kahe_3	2008110810	0.0
Oahu_Kahe_3	2008110812	0.0
Oahu_Kahe_3	2008110814	0.0
Oahu_Kahe_3	2008110816	0.0
Oahu_Kahe_3	2008110818	0.0
Oahu_Kahe_3	2008110820	0.0
Oahu_Kahe_3	2008110822	0.0
Oahu_Kahe_3	2008120500	0.0
Oahu_Kahe_3	2008120502	0.0
Oahu_Kahe_3	2008120504	0.0
Oahu_Kahe_3	2008120506	0.0
Oahu_Kahe_3	2008120508	0.0
Oahu_Kahe_3	2008120510	0.0
Oahu_Kahe_3	2008120512	0.0
Oahu_Kahe_3	2008120514	0.0
Oahu_Kahe_3	2008120516	0.0
Oahu_Kahe_3	2008120518	0.0
Oahu_Kahe_3	2008120520	0.0
Oahu_Kahe_3	2008120522	0.0
Oahu_Kahe_3	2008120800	0.0
Oahu_Kahe_3	2008120802	0.0
Oahu_Kahe_3	2008120804	0.0
Oahu_Kahe_3	2008120806	0.0
Oahu_Kahe_3	2008120808	0.0
Oahu_Kahe_3	2008120810	0.0
Oahu_Kahe_3	2008120812	0.0
Oahu_Kahe_3	2008120814	0.0
Oahu_Kahe_3	2008120816	0.0
Oahu_Kahe_3	2008120818	0.0
Oahu_Kahe_3	2008120820	0.0
Oahu_Kahe_3	2008120822	0.0
Oahu_Kahe_4	2007051700	0.0
Oahu_Kahe_4	2007051702	0.0
Oahu_Kahe_4	2007051704	0.0
Oahu_Kahe_4	2007051706	0.0
Oahu_Kahe_4	2007051708	0.0
Oahu_Kahe_4	2007051710	0.0
Oahu_Kahe_4	2007051712	0.0
Oahu_Kahe_4	2007051714	0.0
Oahu_Kahe_4	2007051716	0.0
Oahu_Kahe_4	2007051718	0.0
Oahu_Kahe_4	2007051720	0.0
Oahu_Kahe_4	2007051722	0.0
Oahu_Kahe_4	2007070900	0.0
Oahu_Kahe_4	2007070902	0.0
Oahu_Kahe_4	2007070904	0.0
Oahu_Kahe_4	2007070906	0.0
Oahu_Kahe_4	2007070908	0.0
Oahu_Kahe_4	2007070910	0.0
Oahu_Kahe_4	2007070912	0.0
Oahu_Kahe_4	2007070914	0.0
Oahu_Kahe_4	2007070916	0.0
Oahu_Kahe_4	2007070918	0.0
Oahu_Kahe_4	2007070920	0.0
Oahu_Kahe_4	2007070922	0.0
Oahu_Kahe_4	2007072100	0.0
Oahu_Kahe_4	2007072102	0.0
Oahu_Kahe_4	2007072104	0.0
Oahu_Kahe_4	2007072106	0.0
Oahu_Kahe_4	2007072108	0.0
Oahu_Kahe_4	2007072110	0.0
Oahu_Kahe_4	2007072112	0.0
Oahu_Kahe_4	2007072114	0.0
Oahu_Kahe_4	2007072116	0.0
Oahu_Kahe_4	2007072118	0.0
Oahu_Kahe_4	2007072120	0.0
Oahu_Kahe_4	2007072122	0.0
Oahu_Kahe_4	2007082500	0.0
Oahu_Kahe_4	2007082502	0.0
Oahu_Kahe_4	2007082504	0.0
Oahu_Kahe_4	2007082506	0.0
Oahu_Kahe_4	2007082508	0.0
Oahu_Kahe_4	2007082510	0.0
Oahu_Kahe_4	2007082512	0.0
Oahu_Kahe_4	2007082514	0.0
Oahu_Kahe_4	2007082516	0.0
Oahu_Kahe_4	2007082518	0.0
Oahu_Kahe_4	2007082520	0.0
Oahu_Kahe_4	2007082522	0.0
Oahu_Kahe_4	2007121500	0.0
Oahu_Kahe_4	2007121502	0.0
Oahu_Kahe_4	2007121504	0.0
Oahu_Kahe_4	2007121506	0.0
Oahu_Kahe_4	2007121508	0.0
Oahu_Kahe_4	2007121510	0.0
Oahu_Kahe_4	2007121512	0.0
Oahu_Kahe_4	2007121514	0.0
Oahu_Kahe_4	2007121516	0.0
Oahu_Kahe_4	2007121518	0.0
Oahu_Kahe_4	2007121520	0.0
Oahu_Kahe_4	2007121522	0.0
Oahu_Kahe_4	2007121800	0.0
Oahu_Kahe_4	2007121802	0.0
Oahu_Kahe_4	2007121804	0.0
Oahu_Kahe_4	2007121806	0.0
Oahu_Kahe_4	2007121808	0.0
Oahu_Kahe_4	2007121810	0.0
Oahu_Kahe_4	2007121812	0.0
Oahu_Kahe_4	2007121814	0.0
Oahu_Kahe_4	2007121816	0.0
Oahu_Kahe_4	2007121818	0.0
Oahu_Kahe_4	2007121820	0.0
Oahu_Kahe_4	2007121822	0.0
Oahu_Kahe_4	2007121900	0.0
Oahu_Kahe_4	2007121902	0.0
Oahu_Kahe_4	2007121904	0.0
Oahu_Kahe_4	2007121906	0.0
Oahu_Kahe_4	2007121908	0.0
Oahu_Kahe_4	2007121910	0.0
Oahu_Kahe_4	2007121912	0.0
Oahu_Kahe_4	2007121914	0.0
Oahu_Kahe_4	2007121916	0.0
Oahu_Kahe_4	2007121918	0.0
Oahu_Kahe_4	2007121920	0.0
Oahu_Kahe_4	2007121922	0.0
Oahu_Kahe_4	2008010900	0.0
Oahu_Kahe_4	2008010902	0.0
Oahu_Kahe_4	2008010904	0.0
Oahu_Kahe_4	2008010906	0.0
Oahu_Kahe_4	2008010908	0.0
Oahu_Kahe_4	2008010910	0.0
Oahu_Kahe_4	2008010912	0.0
Oahu_Kahe_4	2008010914	0.0
Oahu_Kahe_4	2008010916	0.0
Oahu_Kahe_4	2008010918	0.0
Oahu_Kahe_4	2008010920	0.0
Oahu_Kahe_4	2008010922	0.0
Oahu_Kahe_4	2008042100	0.0
Oahu_Kahe_4	2008042102	0.0
Oahu_Kahe_4	2008042104	0.0
Oahu_Kahe_4	2008042106	0.0
Oahu_Kahe_4	2008042108	0.0
Oahu_Kahe_4	2008042110	0.0
Oahu_Kahe_4	2008042112	0.0
Oahu_Kahe_4	2008042114	0.0
Oahu_Kahe_4	2008042116	0.0
Oahu_Kahe_4	2008042118	0.0
Oahu_Kahe_4	2008042120	0.0
Oahu_Kahe_4	2008042122	0.0
Oahu_Kahe_4	2008050100	0.0
Oahu_Kahe_4	2008050102	0.0
Oahu_Kahe_4	2008050104	0.0
Oahu_Kahe_4	2008050106	0.0
Oahu_Kahe_4	2008050108	0.0
Oahu_Kahe_4	2008050110	0.0
Oahu_Kahe_4	2008050112	0.0
Oahu_Kahe_4	2008050114	0.0
Oahu_Kahe_4	2008050116	0.0
Oahu_Kahe_4	2008050118	0.0
Oahu_Kahe_4	2008050120	0.0
Oahu_Kahe_4	2008050122	0.0
Oahu_Kahe_4	2008072700	0.0
Oahu_Kahe_4	2008072702	0.0
Oahu_Kahe_4	2008072704	0.0
Oahu_Kahe_4	2008072706	0.0
Oahu_Kahe_4	2008072708	0.0
Oahu_Kahe_4	2008072710	0.0
Oahu_Kahe_4	2008072712	0.0
Oahu_Kahe_4	2008072714	0.0
Oahu_Kahe_4	2008072716	0.0
Oahu_Kahe_4	2008072718	0.0
Oahu_Kahe_4	2008072720	0.0
Oahu_Kahe_4	2008072722	0.0
Oahu_Kahe_4	2008091000	0.0
Oahu_Kahe_4	2008091002	0.0
Oahu_Kahe_4	2008091004	0.0
Oahu_Kahe_4	2008091006	0.0
Oahu_Kahe_4	2008091008	0.0
Oahu_Kahe_4	2008091010	0.0
Oahu_Kahe_4	2008091012	0.0
Oahu_Kahe_4	2008091014	0.0
Oahu_Kahe_4	2008091016	0.0
Oahu_Kahe_4	2008091018	0.0
Oahu_Kahe_4	2008091020	0.0
Oahu_Kahe_4	2008091022	0.0
Oahu_Kahe_4	2008100300	0.0
Oahu_Kahe_4	2008100302	0.0
Oahu_Kahe_4	2008100304	0.0
Oahu_Kahe_4	2008100306	0.0
Oahu_Kahe_4	2008100308	0.0
Oahu_Kahe_4	2008100310	0.0
Oahu_Kahe_4	2008100312	0.0
Oahu_Kahe_4	2008100314	0.0
Oahu_Kahe_4	2008100316	0.0
Oahu_Kahe_4	2008100318	0.0
Oahu_Kahe_4	2008100320	0.0
Oahu_Kahe_4	2008100322	0.0
Oahu_Kahe_4	2008110800	0.0
Oahu_Kahe_4	2008110802	0.0
Oahu_Kahe_4	2008110804	0.0
Oahu_Kahe_4	2008110806	0.0
Oahu_Kahe_4	2008110808	0.0
Oahu_Kahe_4	2008110810	0.0
Oahu_Kahe_4	2008110812	0.0
Oahu_Kahe_4	2008110814	0.0
Oahu_Kahe_4	2008110816	0.0
Oahu_Kahe_4	2008110818	0.0
Oahu_Kahe_4	2008110820	0.0
Oahu_Kahe_4	2008110822	0.0
Oahu_Kahe_4	2008120500	0.0
Oahu_Kahe_4	2008120502	0.0
Oahu_Kahe_4	2008120504	0.0
Oahu_Kahe_4	2008120506	0.0
Oahu_Kahe_4	2008120508	0.0
Oahu_Kahe_4	2008120510	0.0
Oahu_Kahe_4	2008120512	0.0
Oahu_Kahe_4	2008120514	0.0
Oahu_Kahe_4	2008120516	0.0
Oahu_Kahe_4	2008120518	0.0
Oahu_Kahe_4	2008120520	0.0
Oahu_Kahe_4	2008120522	0.0
Oahu_Kahe_4	2008120800	0.0
Oahu_Kahe_4	2008120802	0.0
Oahu_Kahe_4	2008120804	0.0
Oahu_Kahe_4	2008120806	0.0
Oahu_Kahe_4	2008120808	0.0
Oahu_Kahe_4	2008120810	0.0
Oahu_Kahe_4	2008120812	0.0
Oahu_Kahe_4	2008120814	0.0
Oahu_Kahe_4	2008120816	0.0
Oahu_Kahe_4	2008120818	0.0
Oahu_Kahe_4	2008120820	0.0
Oahu_Kahe_4	2008120822	0.0
Oahu_Kahe_5	2007051700	0.0
Oahu_Kahe_5	2007051702	0.0
Oahu_Kahe_5	2007051704	0.0
Oahu_Kahe_5	2007051706	0.0
Oahu_Kahe_5	2007051708	0.0
Oahu_Kahe_5	2007051710	0.0
Oahu_Kahe_5	2007051712	0.0
Oahu_Kahe_5	2007051714	0.0
Oahu_Kahe_5	2007051716	0.0
Oahu_Kahe_5	2007051718	0.0
Oahu_Kahe_5	2007051720	0.0
Oahu_Kahe_5	2007051722	0.0
Oahu_Kahe_5	2007070900	0.0
Oahu_Kahe_5	2007070902	0.0
Oahu_Kahe_5	2007070904	0.0
Oahu_Kahe_5	2007070906	0.0
Oahu_Kahe_5	2007070908	0.0
Oahu_Kahe_5	2007070910	0.0
Oahu_Kahe_5	2007070912	0.0
Oahu_Kahe_5	2007070914	0.0
Oahu_Kahe_5	2007070916	0.0
Oahu_Kahe_5	2007070918	0.0
Oahu_Kahe_5	2007070920	0.0
Oahu_Kahe_5	2007070922	0.0
Oahu_Kahe_5	2007072100	0.0
Oahu_Kahe_5	2007072102	0.0
Oahu_Kahe_5	2007072104	0.0
Oahu_Kahe_5	2007072106	0.0
Oahu_Kahe_5	2007072108	0.0
Oahu_Kahe_5	2007072110	0.0
Oahu_Kahe_5	2007072112	0.0
Oahu_Kahe_5	2007072114	0.0
Oahu_Kahe_5	2007072116	0.0
Oahu_Kahe_5	2007072118	0.0
Oahu_Kahe_5	2007072120	0.0
Oahu_Kahe_5	2007072122	0.0
Oahu_Kahe_5	2007082500	0.0
Oahu_Kahe_5	2007082502	0.0
Oahu_Kahe_5	2007082504	0.0
Oahu_Kahe_5	2007082506	0.0
Oahu_Kahe_5	2007082508	0.0
Oahu_Kahe_5	2007082510	0.0
Oahu_Kahe_5	2007082512	0.0
Oahu_Kahe_5	2007082514	0.0
Oahu_Kahe_5	2007082516	0.0
Oahu_Kahe_5	2007082518	0.0
Oahu_Kahe_5	2007082520	0.0
Oahu_Kahe_5	2007082522	0.0
Oahu_Kahe_5	2007121500	0.0
Oahu_Kahe_5	2007121502	0.0
Oahu_Kahe_5	2007121504	0.0
Oahu_Kahe_5	2007121506	0.0
Oahu_Kahe_5	2007121508	0.0
Oahu_Kahe_5	2007121510	0.0
Oahu_Kahe_5	2007121512	0.0
Oahu_Kahe_5	2007121514	0.0
Oahu_Kahe_5	2007121516	0.0
Oahu_Kahe_5	2007121518	0.0
Oahu_Kahe_5	2007121520	0.0
Oahu_Kahe_5	2007121522	0.0
Oahu_Kahe_5	2007121800	0.0
Oahu_Kahe_5	2007121802	0.0
Oahu_Kahe_5	2007121804	0.0
Oahu_Kahe_5	2007121806	0.0
Oahu_Kahe_5	2007121808	0.0
Oahu_Kahe_5	2007121810	0.0
Oahu_Kahe_5	2007121812	0.0
Oahu_Kahe_5	2007121814	0.0
Oahu_Kahe_5	2007121816	0.0
Oahu_Kahe_5	2007121818	0.0
Oahu_Kahe_5	2007121820	0.0
Oahu_Kahe_5	2007121822	0.0
Oahu_Kahe_5	2007121900	0.0
Oahu_Kahe_5	2007121902	0.0
Oahu_Kahe_5	2007121904	0.0
Oahu_Kahe_5	2007121906	0.0
Oahu_Kahe_5	2007121908	0.0
Oahu_Kahe_5	2007121910	0.0
Oahu_Kahe_5	2007121912	0.0
Oahu_Kahe_5	2007121914	0.0
Oahu_Kahe_5	2007121916	0.0
Oahu_Kahe_5	2007121918	0.0
Oahu_Kahe_5	2007121920	0.0
Oahu_Kahe_5	2007121922	0.0
Oahu_Kahe_5	2008010900	0.0
Oahu_Kahe_5	2008010902	0.0
Oahu_Kahe_5	2008010904	0.0
Oahu_Kahe_5	2008010906	0.0
Oahu_Kahe_5	2008010908	0.0
Oahu_Kahe_5	2008010910	0.0
Oahu_Kahe_5	2008010912	0.0
Oahu_Kahe_5	2008010914	0.0
Oahu_Kahe_5	2008010916	0.0
Oahu_Kahe_5	2008010918	0.0
Oahu_Kahe_5	2008010920	0.0
Oahu_Kahe_5	2008010922	0.0
Oahu_Kahe_5	2008042100	0.0
Oahu_Kahe_5	2008042102	0.0
Oahu_Kahe_5	2008042104	0.0
Oahu_Kahe_5	2008042106	0.0
Oahu_Kahe_5	2008042108	0.0
Oahu_Kahe_5	2008042110	0.0
Oahu_Kahe_5	2008042112	0.0
Oahu_Kahe_5	2008042114	0.0
Oahu_Kahe_5	2008042116	0.0
Oahu_Kahe_5	2008042118	0.0
Oahu_Kahe_5	2008042120	0.0
Oahu_Kahe_5	2008042122	0.0
Oahu_Kahe_5	2008050100	0.0
Oahu_Kahe_5	2008050102	0.0
Oahu_Kahe_5	2008050104	0.0
Oahu_Kahe_5	2008050106	0.0
Oahu_Kahe_5	2008050108	0.0
Oahu_Kahe_5	2008050110	0.0
Oahu_Kahe_5	2008050112	0.0
Oahu_Kahe_5	2008050114	0.0
Oahu_Kahe_5	2008050116	0.0
Oahu_Kahe_5	2008050118	0.0
Oahu_Kahe_5	2008050120	0.0
Oahu_Kahe_5	2008050122	0.0
Oahu_Kahe_5	2008072700	0.0
Oahu_Kahe_5	2008072702	0.0
Oahu_Kahe_5	2008072704	0.0
Oahu_Kahe_5	2008072706	0.0
Oahu_Kahe_5	2008072708	0.0
Oahu_Kahe_5	2008072710	0.0
Oahu_Kahe_5	2008072712	0.0
Oahu_Kahe_5	2008072714	0.0
Oahu_Kahe_5	2008072716	0.0
Oahu_Kahe_5	2008072718	0.0
Oahu_Kahe_5	2008072720	0.0
Oahu_Kahe_5	2008072722	0.0
Oahu_Kahe_5	2008091000	0.0
Oahu_Kahe_5	2008091002	0.0
Oahu_Kahe_5	2008091004	0.0
Oahu_Kahe_5	2008091006	0.0
Oahu_Kahe_5	2008091008	0.0
Oahu_Kahe_5	2008091010	0.0
Oahu_Kahe_5	2008091012	0.0
Oahu_Kahe_5	2008091014	0.0
Oahu_Kahe_5	2008091016	0.0
Oahu_Kahe_5	2008091018	0.0
Oahu_Kahe_5	2008091020	0.0
Oahu_Kahe_5	2008091022	0.0
Oahu_Kahe_5	2008100300	0.0
Oahu_Kahe_5	2008100302	0.0
Oahu_Kahe_5	2008100304	0.0
Oahu_Kahe_5	2008100306	0.0
Oahu_Kahe_5	2008100308	0.0
Oahu_Kahe_5	2008100310	0.0
Oahu_Kahe_5	2008100312	0.0
Oahu_Kahe_5	2008100314	0.0
Oahu_Kahe_5	2008100316	0.0
Oahu_Kahe_5	2008100318	0.0
Oahu_Kahe_5	2008100320	0.0
Oahu_Kahe_5	2008100322	0.0
Oahu_Kahe_5	2008110800	0.0
Oahu_Kahe_5	2008110802	0.0
Oahu_Kahe_5	2008110804	0.0
Oahu_Kahe_5	2008110806	0.0
Oahu_Kahe_5	2008110808	0.0
Oahu_Kahe_5	2008110810	0.0
Oahu_Kahe_5	2008110812	0.0
Oahu_Kahe_5	2008110814	0.0
Oahu_Kahe_5	2008110816	0.0
Oahu_Kahe_5	2008110818	0.0
Oahu_Kahe_5	2008110820	0.0
Oahu_Kahe_5	2008110822	0.0
Oahu_Kahe_5	2008120500	0.0
Oahu_Kahe_5	2008120502	0.0
Oahu_Kahe_5	2008120504	0.0
Oahu_Kahe_5	2008120506	0.0
Oahu_Kahe_5	2008120508	0.0
Oahu_Kahe_5	2008120510	0.0
Oahu_Kahe_5	2008120512	0.0
Oahu_Kahe_5	2008120514	0.0
Oahu_Kahe_5	2008120516	0.0
Oahu_Kahe_5	2008120518	0.0
Oahu_Kahe_5	2008120520	0.0
Oahu_Kahe_5	2008120522	0.0
Oahu_Kahe_5	2008120800	0.0
Oahu_Kahe_5	2008120802	0.0
Oahu_Kahe_5	2008120804	0.0
Oahu_Kahe_5	2008120806	0.0
Oahu_Kahe_5	2008120808	0.0
Oahu_Kahe_5	2008120810	0.0
Oahu_Kahe_5	2008120812	0.0
Oahu_Kahe_5	2008120814	0.0
Oahu_Kahe_5	2008120816	0.0
Oahu_Kahe_5	2008120818	0.0
Oahu_Kahe_5	2008120820	0.0
Oahu_Kahe_5	2008120822	0.0
Oahu_Kahe_5	2507051700	0.0
Oahu_Kahe_5	2507051702	0.0
Oahu_Kahe_5	2507051704	0.0
Oahu_Kahe_5	2507051706	0.0
Oahu_Kahe_5	2507051708	0.0
Oahu_Kahe_5	2507051710	0.0
Oahu_Kahe_5	2507051712	0.0
Oahu_Kahe_5	2507051714	0.0
Oahu_Kahe_5	2507051716	0.0
Oahu_Kahe_5	2507051718	0.0
Oahu_Kahe_5	2507051720	0.0
Oahu_Kahe_5	2507051722	0.0
Oahu_Kahe_5	2507070900	0.0
Oahu_Kahe_5	2507070902	0.0
Oahu_Kahe_5	2507070904	0.0
Oahu_Kahe_5	2507070906	0.0
Oahu_Kahe_5	2507070908	0.0
Oahu_Kahe_5	2507070910	0.0
Oahu_Kahe_5	2507070912	0.0
Oahu_Kahe_5	2507070914	0.0
Oahu_Kahe_5	2507070916	0.0
Oahu_Kahe_5	2507070918	0.0
Oahu_Kahe_5	2507070920	0.0
